CART  |CUT|GROUP_NAME|TITLE                                                                                                                                                                                                                                                          |ARTIST                                                                                                                                                                                                                                                         |ALBUM                                                                                                                                                                                                                                                          |YEAR|ISRC        |LABEL                                                           |CLIENT                                                          |AGENCY                                                          |PUBLISHER                                                       |COMPOSER                                                        |USER_DEFINED                                                                                                                                                                                                                                                   |LENGTH   |
010001|001|MUSIC     |Lonely Cowboy                                                                                                                                                                                                                                                  |Virginia Coalition                                                                                                                                                                                                                                             |Townburg                                                                                                                                                                                                                                                       |    |            |                                                                |                                                                |                                                                |                                                                |                                                                |                                                                                                                                                                                                                                                               |0:03:15.0|
010002|001|MUSIC     |E Song                                                                                                                                                                                                                                                         |Virginia Coalition                                                                                                                                                                                                                                             |Townburg                                                                                                                                                                                                                                                       |    |            |                                                                |                                                                |                                                                |                                                                |                                                                |                                                                                                                                                                                                                                                               |0:03:53.1|
010003|001|MUSIC     |Likeness                                                                                                                                                                                                                                                       |Virginia Coalition                                                                                                                                                                                                                                             |Townburg                                                                                                                                                                                                                                                       |    |            |                                                                |                                                                |                                                                |                                                                |                                                                |                                                                                                                                                                                                                                                               |0:03:16.3|
010004|001|MUSIC     |Atchafalaya                                                                                                                                                                                                                                                    |Virginia Coalition                                                                                                                                                                                                                                             |Townburg                                                                                                                                                                                                                                                       |    |            |                                                                |                                                                |                                                                |                                                                |                                                                |                                                                                                                                                                                                                                                               |0:03:54.7|
010005|001|MUSIC     |Luminiferous Ether                                                                                                                                                                                                                                             |Virginia Coalition                                                                                                                                                                                                                                             |Townburg                                                                                                                                                                                                                                                       |    |            |                                                                |                                                                |                                                                |                                                                |                                                                |                                                                                                                                                                                                                                                               |0:03:49.0|
010006|001|MUSIC     |Witchita                                                                                                                                                                                                                                                       |Virginia Coalition                                                                                                                                                                                                                                             |Townburg                                                                                                                                                                                                                                                       |    |            |                                                                |                                                                |                                                                |                                                                |                                                                |                                                                                                                                                                                                                                                               |0:01:02.8|
010007|001|MUSIC     |Green and Grey                                                                                                                                                                                                                                                 |Virginia Coalition                                                                                                                                                                                                                                             |Townburg                                                                                                                                                                                                                                                       |    |            |                                                                |                                                                |                                                                |                                                                |                                                                |                                                                                                                                                                                                                                                               |0:04:16.0|
010008|001|MUSIC     |Mista Banks                                                                                                                                                                                                                                                    |Virginia Coalition                                                                                                                                                                                                                                             |Townburg                                                                                                                                                                                                                                                       |    |            |                                                                |                                                                |                                                                |                                                                |                                                                |                                                                                                                                                                                                                                                               |0:04:43.9|
010009|001|MUSIC     |A Song                                                                                                                                                                                                                                                         |Virginia Coalition                                                                                                                                                                                                                                             |Townburg                                                                                                                                                                                                                                                       |    |            |                                                                |                                                                |                                                                |                                                                |                                                                |                                                                                                                                                                                                                                                               |0:03:02.7|
010010|001|MUSIC     |Go-Go Song                                                                                                                                                                                                                                                     |Virginia Coalition                                                                                                                                                                                                                                             |Townburg                                                                                                                                                                                                                                                       |    |            |                                                                |                                                                |                                                                |                                                                |                                                                |                                                                                                                                                                                                                                                               |0:04:47.4|
010011|001|MUSIC     |Wichita Reprise                                                                                                                                                                                                                                                |Virginia Coalition                                                                                                                                                                                                                                             |Townburg                                                                                                                                                                                                                                                       |    |            |                                                                |                                                                |                                                                |                                                                |                                                                |                                                                                                                                                                                                                                                               |0:04:28.0|
999999|001|TEST      |Test Tone                                                                                                                                                                                                                                                      |Rivendell Radio Automation                                                                                                                                                                                                                                     |                                                                                                                                                                                                                                                               |    |            |                                                                |                                                                |                                                                |                                                                |                                                                |                                                                                                                                                                                                                                                               |0:00:10.0|
